Short,Long
Hla17,2017arXiv170803641H
Fer12,2012A+ARv..20...54F
Ebe96,1996MNRAS.281..799E
Ebe98,1998MNRAS.301..881E
Ebe00,2000MNRAS.318..333E
Ebe07,2007ApJ...661L..33E
Slee01,2001AJ....122.1172S
Gov01,2001A+A...376..803G
Gio09,2009A+A...507.1257G
Gia06,"
2006NewA...11..437G"
Wee11a,2011A+A...533A..35V
Fer06,2006MNRAS.368..544F
Bos08,2008A+A...487...33B
Gio00,2000NewA....5..335G
B̦h00,2000ApJS..129..435B
Kem01,2001ApJ...548..639K
Sub03,2003AJ....125.1095S
Mac11,2011ApJ...728...82M
Gov11,2011A+A...529A..69G
Gov12,2012A+A...545A..74G
Gas15a,2015MNRAS.448.2197D
Bon09,2009A+A...494..429B
Ven13,2013A+A...551A..24V
Gia09,2009ApJ...704L..54G
Far13,2013ApJ...779..189F
Bon15,2015MNRAS.454.3391B
Wee11b,2011A+A...527A.114V
Kom94,1994A+A...285...27K
Fer01,2001A+A...373..106F
Piz08,2008A+A...481L..91P
Cla06,2006AJ....131.2900Cs
Coh11,2011AJ....141..149C
Bag06,2006Sci...314..791B
Ebe02,2002ApJ...580..774E
Wee13,2013ApJ...769..101V
Gas17,2017A+A...597A..15D
Roe97,1997MNRAS.290..577R
Lin14,2014ApJ...786...49L
Ran16,2016ApJ...823...94R
Raj17,Rajpurohit et al. in prep.
Str13,2013A+A...555A.110S
Bro11,2011ApJ...727L..25B
Shi15,2015MNRAS.449.1486S
Bon12,2012MNRAS.426...40B
Wee09,2009A+A...508...75V
Ris17,2017A+A...597A..96R
Pan13,2013A+A...557A.117P
Can16,2016MNRAS.458.1803C
Bag11,2011ApJ...736L...8B
Kal17,2017arXiv170801718K
Gas14,2014MNRAS.444.3130D
Gas15b,2015MNRAS.453.3483D
Ogr13,2013MNRAS.433..812O
Wee16,2016ApJ...818..204V
Ran10,2010ApJ...722..825R
Cla06,2006AJ....131.2900C
Shi14,2014A+A...562A..43S
Sha16,2016MNRAS.459.2525S
Kal15,2015A+A...579A..92K
Fer05,2005A+A...444..157F
Wee11c,2011A+A...528A..38V
Gio10,2010A+A...511L...5G
Mid08,2008AJ....135.1276M
Bro09,2009AJ....137.3158B
